semilla,inicial,desarrollo,medios,finales,cosecha
ajo,0.2,0.35,0.42,0.55,0.55
alfalfa,0.35,0,0,0,1.12
almendro,0.53,0.59,0.95,1.02,1
arandano 1aã±o,0.11,0.23,0.31,0.34,0.33
arandano 2aã±o,0.14,0.32,0.42,0.45,0.42
arandano 3aã±o,0.21,0.35,0.45,0.5,0.49
arroz,1.125,1.3,1.2,1.025,1
arveja fresca,0.45,0.775,1.125,1.075,1.025
cebolla seca,0.5,0.75,1.025,0.875,0.8
cebolla verde,0.5,0.675,1,1.025,1
ciruelo,0.53,0.62,0.98,1.07,1.06
coliflor,0.45,2.75,1.02,95,0.875
duraznero,0.53,0.62,0.98,1.07,1.06
esparragos,0.4,0.48,0.5,0.8,0.82
frambuesa,0.45,0.51,0.55,0.69,0.75
kiwi,0.63,0.68,1.14,1.24,1.2
maiz dulce,0.4,0.8,1.125,1.075,1.025
maiz grano,0.4,0.775,1.125,0.875,0.575
mani,0.45,0.8,1.025,0.775,0.575
manzano,0.54,0.65,1.05,1.16,1.13
maravilla,0.35,0.75,1.125,0.75,0.4
nectarino,0.53,0.62,0.98,1.07,1.06
nogal,0.53,0.58,0.91,1.07,1.06
olivo,0,0,0,0,0
palto,0.77,0.78,0.76,0.77,0.78
papa,0.45,0.75,1.125,0.875,0.725
peral,0.54,0.65,1.05,1.16,1.13
pimentã³n,0.35,0.675,1.025,0.925,0.85
poroto seco,0.35,0.75,1.125,0.675,0.29
poroto vade,0.525,0.7,1,0.925,0.9
pradera,0.79,0.82,0.91,0.95,0.92
remolacha,0.45,0.8,1.125,0.95,0.65
sandã­a,0.45,0.75,1,0.85,0.7
tabaco,0.35,0.75,1.1,0.95,0.8
tomate,0.45,0.75,1.15,0.875,0.625
togo,0.35,0.75,1.125,0.675,0.225
vid,0.45,0.7,0.8,0.7,0.625
,,,,,
